Make	Model	Buyer Gender	Buyer Age	Country	City	Dealer Latitude	Dealer Longitude	Color	New Car	Purchase Date	Sale Price	Discount	Resell Price	5-yr Depreciation	Top Speed	0-60 Time
Cadillac	CTS	Male	50	Sweden	Bandhagen	59.2643041	18.0399695	Khaki	FALSE	1/1/2002	96015.68	0.658	12274.31	0.22	158.6	6.6
GMC	Sierra 3500	Female	22	Indonesia	Cinagrog Girang	-6.9547303	107.3787448	Goldenrod	TRUE	10/9/2014	51901.45	0.1774	27283.63	0.15	174.2	7.6
Mazda	CX-7	Male	47	Dominican Republic	Sabana Grande de Palenque	18.2604623	-70.1473203	Green	TRUE	30/07/2019	28604.59	0.0274	22178.7	0.08	202.5	10.3
Dodge	Ram 3500	Female	25	China	Longtian	28.018107	111.945153	Yellow	TRUE	22/07/2003	33890.39	0.0252	15865.98	0.09	188.2	13.9
Hyundai	Accent	Male	71	Thailand	Samut Sakhon	13.5497754	100.2740821	Goldenrod	FALSE	14/05/2014	69425.39	0.3852	29374.06	0.14	133.1	10.4
Toyota	Tundra	Female	44	China	Hezhi	39.105787	111.862117	Orange	TRUE	26/09/2006	80585.39	0.0034	45076.72	0.22	204.5	2
Dodge	Nitro	Male	30	China	Houzhen	30.742803	120.48806	Teal	TRUE	12/2/2010	40866.96	0.0046	31885.08	0.21	234.6	12.4
Nissan	Altima	Male	59	Brazil	Bertioga	-23.8182859	-46.0851681	Khaki	TRUE	3/9/2007	30304.38	0.5994	32408.99	0.2	239.1	11.5
Porsche	Cayenne	Female	45	Myanmar	Syriam	16.7587537	96.2482149	Aquamarine	TRUE	15/07/2017	66185.36	0.5615	47627.93	0.04	156.5	3
Porsche	Boxster	Male	43	Bhutan	Gasa	28.0185886	89.9253233	Turquoise	FALSE	28/12/2011	97346.22	0.1684	29096.58	0.22	242	14.1
Volvo	V70	Male	60	Burkina Faso	Ouahigouya	13.5668258	-2.4109908	Khaki	TRUE	7/9/2005	78816.81	0.5464	34394.58	0.05	205	9.9
Aston Martin	Vantage	Male	64	Russia	Starobachaty	54.2407853	86.2093804	Aquamarine	TRUE	6/10/2012	96208.13	0.233	37660.46	0.02	209.2	7
BMW	3 Series	Female	25	Portugal	Aldeia de Além	39.4113773	-8.803326	Blue	FALSE	9/7/2011	78394.46	0.2362	24392.14	0.13	144.3	10.8
Kia	Sephia	Male	71	Samoa	Mulifanua	-13.8474624	-172.0448001	Yellow	FALSE	23/09/2019	32476.31	0.2512	8139.97	0.11	154.2	4.6
Lotus	Esprit	Male	71	Ivory Coast	Bouna	9.2716618	-2.9925577	Maroon	FALSE	15/11/2003	11585.64	0.6883	23077.79	0.2	183.2	12.6
Lexus	LS Hybrid	Male	54	Philippines	Borbon	10.8379491	124.0251538	Puce	TRUE	21/09/2010	95140.63	0.3938	23878.48	0.03	176.1	3.2
Lexus	GS	Male	30	Russia	Stupino	54.8843032	38.1642604	Turquoise	TRUE	18/04/2010	59210.37	0.2045	18283.34	0.12	202	14.7
Mazda	929	Male	22	Philippines	Bacolod	14.4400324	121.0299296	Puce	FALSE	20/06/2018	19054.03	0.1304	37622.88	0.02	227.5	8.8
Daihatsu	Rocky	Male	35	Indonesia	Bindang	4.5475154	97.1574784	Blue	TRUE	24/04/2006	12679.19	0.4266	6679.71	0.06	215.8	6.5
Saab	900	Female	47	France	Cachan	48.7877067	2.3300777	Red	FALSE	5/6/2004	19617.03	0.0248	24257.52	0.07	214.4	10.7
Jaguar	XK Series	Female	29	China	Qingshui	34.749864	106.137293	Aquamarine	FALSE	17/04/2002	34155.21	0.1018	14973.5	0.07	128.9	5.7
Ford	F-Series	Male	35	Brazil	Surubim	-7.8478439	-35.7570657	Yellow	FALSE	1/2/2005	50650.27	0.558	32806.81	0.15	249.7	10.5
Toyota	Celica	Female	44	Russia	Zhigalovo	54.7991023	105.1718357	Pink	FALSE	21/05/2008	35683.97	0.2596	21229.23	0.05	204.5	11.2
Buick	Somerset	Female	69	Russia	Strogino	55.8024235	37.4219388	Aquamarine	FALSE	22/12/2004	26558.94	0.0335	28800.37	0.24	125.5	7
Lamborghini	Murciélago	Male	56	Czech Republic	Náklo	49.6546211	17.1296944	Aquamarine	TRUE	24/02/2010	39915.41	0.4966	11487.39	0.12	243.7	2.6
Volkswagen	Fox	Female	62	Peru	Santa Rosa	-11.806679	-77.1657716	Maroon	TRUE	2/11/2019	83980.98	0.6632	9854.08	0.23	143.6	4.5
Ford	Escape	Male	38	Russia	Rutul	41.5335463	47.4238117	Orange	FALSE	17/11/2010	79667.79	0.4508	42029.11	0.07	193.2	6.5
Mitsubishi	Outlander	Male	68	Japan	Kakuda	37.9697625	140.7803658	Yellow	FALSE	7/7/2016	10489.66	0.6255	11139.54	0.23	238.9	3.5
Mitsubishi	Montero Sport	Female	27	Indonesia	Jombang	-7.5740867	112.28609	Violet	TRUE	24/11/2019	48106	0.5663	49980.92	0.2	125	13.9
Mazda	Familia	Female	45	Poland	S?popol	54.2690259	21.0143445	Puce	TRUE	18/03/2016	68243.88	0.1939	14679.86	0.13	212.7	13.6
Chrysler	LeBaron	Male	52	Russia	Krasnoyarka	59.418208	60.514706	Puce	FALSE	8/4/2019	48680.03	0.4178	39519.25	0.08	173.4	3.9
Plymouth	Prowler	Male	31	China	Beishan	28.39895	113.02064	Crimson	FALSE	29/09/2006	22073.74	0.4655	13081.98	0.07	145.8	8.6
Mitsubishi	Outlander	Female	53	Portugal	Venda do Alcaide	38.6093672	-8.887687	Fuscia	FALSE	1/7/2017	31933.8	0.0082	2458.26	0.21	181.9	3.3
Honda	Civic	Female	69	Colombia	El Tambo	1.4081109	-77.391527	Mauv	FALSE	6/5/2014	57034.78	0.255	12278.67	0.19	141.3	14.2
Dodge	Neon	Female	74	Indonesia	Ipuh	-2.9863926	101.5134398	Mauv	TRUE	11/3/2019	86193.56	0.5893	41140.39	0.19	198.5	6
Mazda	RX-7	Female	43	Myanmar	Bago	17.3220711	96.4663286	Mauv	FALSE	9/1/2004	31651.95	0.2225	40063.92	0.2	220.3	7.9
Mercedes-Benz	500SEC	Male	57	Philippines	Aurora	14.5458392	121.0044883	Fuscia	FALSE	30/07/2017	61024.09	0.4409	33248.31	0.13	203.1	14.3
Mazda	Mazda6 Sport	Female	46	Greece	Kinéta	37.9695509	23.2138496	Crimson	FALSE	25/07/2006	54892.34	0.0999	20311.47	0.18	130.7	8.5
Buick	Reatta	Male	62	China	Santai	31.095979	105.094586	Red	FALSE	3/12/2020	72733.55	0.162	8922.16	0.16	139.1	9
Dodge	Neon	Female	63	Greece	Vamvakoú	37.2445983	22.5517042	Mauv	TRUE	8/7/2015	76592.96	0.2035	46660.68	0.11	210.6	7.2
BMW	1 Series	Female	31	Afghanistan	Deh-e Now	33.731926	67.068153	Green	FALSE	13/02/2016	99184.49	0.559	4817.76	0.15	190.4	5.8
Chrysler	Crossfire	Male	22	China	Yuandun	33.044814	106.656635	Aquamarine	FALSE	17/05/2017	56637.09	0.3193	18567.96	0.03	173	14.7
Chevrolet	Tahoe	Female	22	Thailand	Wat Sing	15.2081378	99.9688636	Indigo	FALSE	1/9/2013	70940.33	0.0876	47674.05	0.15	154.7	4.5
Mercedes-Benz	M-Class	Female	69	Russia	Centralniy	51.2235476	37.8775538	Indigo	FALSE	22/06/2008	64090.22	0.1295	16377.57	0.14	183.1	10.7
Mercedes-Benz	S-Class	Male	63	Armenia	Dalar	39.9754634	44.5273861	Orange	TRUE	25/04/2013	54523.2	0.3359	17276.76	0.14	177.5	8.3
Buick	Park Avenue	Male	59	Brazil	Brodósqui	-19.8078961	-43.9875878	Puce	FALSE	7/4/2004	47282.95	0.2263	23078.1	0.12	224.5	12.1
Mercedes-Benz	S-Class	Male	27	China	Wantian	24.042666	114.345641	Crimson	FALSE	9/12/2004	45525.44	0.2608	28519.48	0.1	211.2	9.2
Ford	Mustang	Male	32	Mozambique	Matola	-25.9239093	32.465802	Yellow	TRUE	18/06/2007	69394.26	0.2478	17470.45	0.17	208.1	2.5
Lamborghini	Murciélago	Female	42	United States	Beaumont	30.0435239	-94.2743628	Red	TRUE	6/1/2005	75280.9	0.3082	16888.59	0.19	211.1	12.1
Honda	Civic	Male	35	China	Balitai	38.94081	117.325744	Pink	TRUE	8/2/2005	20568.54	0.1523	31522.99	0.2	161.7	12.7
Mitsubishi	Challenger	Female	52	Albania	Poroçan	40.9357866	20.2899237	Green	TRUE	20/11/2008	92256.82	0.6464	10502.28	0.25	134.1	2.5
Dodge	Avenger	Male	53	Poland	Bia?o?liwie	53.1406245	17.1259608	Fuscia	TRUE	20/03/2014	63955.29	0.6686	4173.62	0.21	203.3	7.9
Bentley	Azure	Female	48	Ukraine	Koloniya Zastav’ye	50.81667	27.03333	Teal	FALSE	31/05/2005	33562.33	0.4538	5882.23	0.24	152.9	4.6
Toyota	Sienna	Male	43	Colombia	Carolina	6.724917	-75.282299	Fuscia	FALSE	13/10/2008	60412.3	0.4565	48544.23	0.02	193.5	13.9
Nissan	350Z	Female	30	Dominican Republic	Azua	18.4445307	-69.9316834	Turquoise	FALSE	1/1/2005	55154.78	0.3776	15070.1	0.1	220.1	13.9
Pontiac	Firebird Trans Am	Male	45	South Korea	Bucheon-si	37.5034138	126.7660309	Mauv	FALSE	16/05/2015	76950.78	0.0453	21588.47	0.07	223.2	4.6
Jeep	Patriot	Female	41	China	Guanshan	31.753884	118.565462	Violet	FALSE	30/05/2016	80700.31	0.2357	10995.43	0.25	236.4	3.1
Dodge	Viper	Male	61	Peru	Palca	-11.3442564	-75.5655147	Purple	TRUE	26/12/2004	55348.82	0.4987	6647.54	0.11	184.2	12.7
Nissan	Xterra	Male	35	China	Jialai	29.913085	97.817792	Maroon	TRUE	7/2/2017	53183.09	0.5319	49295.34	0.18	203.4	4
Oldsmobile	Achieva	Female	71	Ukraine	Olyka	50.7113724	25.8291867	Indigo	FALSE	15/06/2005	36799.78	0.1928	26749.2	0.15	148.3	3.8
Mercedes-Benz	GLK-Class	Male	60	Sweden	Leksand	60.6858505	15.0446489	Fuscia	FALSE	15/07/2014	36029.34	0.4817	31381.92	0.24	223.4	5.6
Land Rover	Range Rover Sport	Female	66	China	Dalian	38.914003	121.614682	Pink	FALSE	22/09/2013	89012.3	0.2176	29033.56	0.03	180.4	8.4
Mazda	Mazdaspeed6	Male	75	Macedonia	Gevgelija	41.139883	22.5397872	Indigo	FALSE	12/12/2004	82291.85	0.5481	28709.42	0.17	144.3	12.9
Pontiac	Vibe	Male	75	Estonia	Kose	59.1690031	25.208352	Turquoise	FALSE	30/01/2018	15130.19	0.4381	11132.09	0.15	179.7	4.9
Mazda	B2000	Female	68	Croatia	Kraljevica	45.2646668	14.5795071	Yellow	FALSE	21/12/2019	12396.47	0.5102	48139.98	0.17	199	13.1
Nissan	Pathfinder	Female	75	Brazil	Itambé	-7.4443035	-35.148879	Violet	FALSE	18/09/2016	86584.98	0.0446	3887.85	0.1	238	14.9
Chevrolet	Blazer	Male	46	China	Maikun	32.905305	101.755566	Pink	TRUE	14/04/2012	17171.4	0.2993	43136.18	0.09	236.2	11.5
Chevrolet	Colorado	Male	67	France	Laon	49.5706463	3.6245097	Khaki	TRUE	1/5/2019	71607.96	0.1739	43315.6	0.09	185.6	3.3
Ford	F350	Male	64	China	Jiantou	24.052487	114.701871	Red	TRUE	4/11/2012	87900.7	0.4363	47150.92	0.01	212.1	6.6
Hyundai	Santa Fe	Female	48	Russia	Lukhovka	54.1456181	45.2504398	Purple	TRUE	26/07/2003	83809.97	0.2443	17534.66	0.03	161.7	13.8
Dodge	Ram Van B250	Male	64	France	Mitry-Mory	48.9802395	2.612562	Crimson	TRUE	24/03/2014	42022.64	0.4893	18509.48	0.07	248.6	3.4
Mazda	Mazda2	Male	66	Colombia	Villavicencio	4.0416578	-73.5829689	Purple	FALSE	8/9/2015	32401.67	0.2756	21174.97	0.21	217.2	6.3
Lincoln	MKS	Female	20	Russia	Odesskoye	54.2084536	72.9614362	Fuscia	TRUE	8/4/2002	33509.85	0.3552	48775.31	0.02	234.7	3.9
Isuzu	Amigo	Female	61	Brazil	São Sebastião	-23.7243543	-45.4306592	Orange	FALSE	13/04/2013	74909.43	0.5765	47262.59	0.15	138.2	12.8
Mercury	Cougar	Female	31	Greece	Itéa	38.4324927	22.4259628	Maroon	FALSE	10/5/2014	21391.82	0.6424	40093.16	0.17	171.5	14.1
Subaru	Outback	Female	35	Ukraine	Vyshneve	50.3919	30.368267	Crimson	TRUE	30/12/2018	48723.77	0.4331	33673.42	0.17	169.3	11
Kia	Sedona	Female	44	Germany	Hannover	52.3723858	9.6890537	Goldenrod	TRUE	29/10/2017	48491.87	0.0863	30180.52	0.16	203.5	6.5
Chevrolet	Camaro	Female	32	Russia	Pamyat’ Parizhskoy Kommuny	56.1085807	44.4955531	Puce	FALSE	28/12/2008	67200.28	0.0032	26532.67	0.19	141.4	4.8
Isuzu	VehiCROSS	Male	38	Indonesia	Ciparay	-7.0401751	107.7132895	Aquamarine	TRUE	3/5/2009	25850.6	0.3956	17498.84	0.11	149.4	10.1
Plymouth	Voyager	Male	69	Mauritius	Poste de Flacq	-20.1674203	57.7487911	Yellow	FALSE	16/10/2019	79002.37	0.1253	35597.89	0.16	222.5	2.6
GMC	Sierra 1500	Female	61	Sweden	Umeå	63.8205484	20.3036711	Aquamarine	TRUE	3/1/2009	94043.28	0.5112	8582.62	0.24	204.3	9.9
Ford	Fusion	Female	33	China	Guangping	36.483484	114.948606	Khaki	TRUE	7/5/2017	55431.51	0.133	41343.8	0.05	179.3	14.1
Mitsubishi	Diamante	Male	23	Pakistan	Mehr?bpur	27.100102	68.3711064	Maroon	TRUE	13/02/2014	58403.67	0.359	17911.62	0.09	224.8	7.7
Kia	Optima	Male	54	Indonesia	Sukadami	-6.3636897	107.1100534	Goldenrod	TRUE	19/12/2011	30410.32	0.2032	44624.95	0.14	193.1	13.6
Infiniti	G	Female	57	China	Fubin	31.297414	121.450653	Purple	TRUE	26/11/2007	17966.65	0.1188	3157.64	0.07	210.5	11
Nissan	300ZX	Female	56	China	Bailu	30.2733296	120.1672735	Violet	FALSE	18/07/2015	20078.96	0.0758	9958.06	0.12	172.9	13.3
BMW	X5	Female	56	Russia	Nerchinsk	51.9769348	116.5697117	Blue	TRUE	3/12/2008	16198.96	0.021	32703.95	0.03	124.8	2.5
Chrysler	Voyager	Male	68	China	Zhongtong	36.448127	116.0625588	Indigo	FALSE	1/2/2015	61133.34	0.4655	9742.34	0.23	243.6	14.9
Mercury	Milan	Female	35	China	Zhongxing	30.920219	103.620536	Pink	TRUE	20/03/2003	40077.95	0.3061	28540.81	0.22	209.2	7.5
GMC	Envoy XUV	Male	41	Cyprus	Kokkini Trimithia	35.1529042	33.2110414	Goldenrod	TRUE	26/10/2019	61810.1	0.6467	30370.26	0.03	244.8	6.8
Dodge	Caravan	Male	65	Brazil	Álvares Machado	-22.0791603	-51.477858	Goldenrod	FALSE	10/10/2010	95975.82	0.4194	6987.53	0.17	194.1	10.5
Lincoln	Town Car	Male	75	Portugal	Fraga	41.136319	-8.2053479	Pink	TRUE	18/02/2006	22108.85	0.2829	10367.06	0.14	134.8	12.9
Honda	Accord Crosstour	Male	33	Sweden	Umeå	63.8191979	20.2821264	Red	FALSE	1/5/2009	27512.86	0.1397	17257.59	0.2	217	10.6
Infiniti	Q	Male	66	China	Zhugang	45.76629	126.610421	Violet	FALSE	8/4/2009	73122.87	0.5887	36161.32	0.15	192.8	9
Toyota	4Runner	Female	38	Portugal	Manique de Baixo	38.731148	-9.3641114	Crimson	TRUE	18/12/2017	26160.73	0.5018	15487.1	0.07	121.7	2
GMC	1500 Club Coupe	Male	22	Kazakhstan	Akzhal	49.6927765	75.5895888	Violet	FALSE	17/09/2016	15504.45	0.5711	16618.57	0.09	239.2	3.8
Chevrolet	Astro	Female	47	China	Ningzhong	24.154316	115.743753	Teal	FALSE	26/08/2004	23583.1	0.0619	49517.64	0.19	212.6	4.8
Volkswagen	rio	Male	40	Ukraine	Balky	47.3845072	34.9321089	Maroon	TRUE	6/7/2012	92995.61	0.3879	34444.67	0.15	213.2	13.4
GMC	Yukon XL 2500	Female	52	Canada	St. Thomas	42.7665598	-81.1747498	Puce	FALSE	25/04/2010	30448.4	0.5193	41350.5	0.04	180.8	7.6
Infiniti	G	Male	62	China	Ulan Us	44.30672	85.871393	Orange	FALSE	16/02/2009	19298.41	0.5492	7979.39	0.08	185.5	5.6
Lexus	LX	Male	42	Portugal	São Pedro	38.7930999	-9.3809443	Fuscia	TRUE	28/04/2006	64443.76	0.4804	35334.51	0.21	184.9	5.2
Ford	Econoline E250	Female	22	Cuba	Alquízar	22.8064234	-82.5848464	Aquamarine	TRUE	27/02/2014	37423.55	0.5881	48269.5	0.21	147	8.7
Pontiac	Bonneville	Male	39	United States	Atlanta	33.9216582	-84.3772367	Purple	TRUE	12/8/2020	76736.78	0.3295	30158.4	0.03	161.2	7
Volkswagen	New Beetle	Female	37	China	Xiluodu	28.233802	103.640693	Pink	TRUE	29/07/2008	43027	0.4248	32545.69	0.24	155.9	6
Chevrolet	Camaro	Male	71	Argentina	Rawson	-37.9707308	-57.6258993	Indigo	TRUE	26/11/2004	35645	0.4465	43321.6	0.15	209.2	2.2
Nissan	Pathfinder	Male	75	United States	Nashville	36.0802326	-86.8320743	Red	FALSE	26/06/2019	60846.49	0.5008	5940.96	0.15	191.9	11
Dodge	Neon	Female	75	China	Yanghe	29.26008	110.70434	Violet	TRUE	4/7/2007	31676.96	0.5861	11727.53	0.02	224.8	14.7
Pontiac	G5	Male	23	Russia	Zakan-Yurt	43.2588087	45.4197638	Orange	TRUE	4/9/2002	90975.77	0.5452	41334.23	0.08	240.6	11.1
Honda	Pilot	Male	39	Bulgaria	Burgas	42.5187534	27.4772798	Red	TRUE	21/03/2009	62201.94	0.4213	26467.52	0.09	233.7	6.6
Subaru	Legacy	Male	60	Philippines	Mindupok	6.0825	124.4327774	Indigo	FALSE	20/09/2010	30092.21	0.2708	32596.58	0.23	222.8	7.4
Toyota	Camry	Female	61	South Africa	Ficksburg	-28.8999222	27.8750976	Purple	FALSE	30/07/2006	75229.95	0.6501	34702.74	0.11	227.6	10.1
Chevrolet	Express	Female	58	Russia	Demyansk	57.6437016	32.4624195	Pink	TRUE	7/12/2003	63142.71	0.5784	19497.46	0.06	157	9.6
Honda	Element	Female	28	South Africa	Cofimvaba	-31.9974697	27.6640187	Purple	FALSE	10/8/2010	93257.52	0.3136	17022.87	0.16	131.5	4
Acura	RSX	Male	31	Brazil	Itapecuru Mirim	-3.3937106	-44.3606211	Maroon	FALSE	30/08/2012	28928.87	0.3839	26214.78	0.06	200.1	7.8
Hyundai	Sonata	Female	71	China	Chengzhong	24.315499	109.410683	Crimson	TRUE	13/09/2019	97458.77	0.1942	26444.58	0.21	203.6	13.3
Toyota	FJ Cruiser	Male	29	China	Xiema	24.479833	118.089425	Turquoise	TRUE	18/10/2004	12085.05	0.4257	36994.19	0.14	139.2	11.6
Ford	Econoline E150	Female	34	Russia	Bryansk	53.3249623	34.374358	Turquoise	FALSE	8/6/2005	40294.78	0.2713	5918.64	0.21	210.2	2.9
Toyota	Land Cruiser	Female	28	Ireland	Dunlewy	53.2774963	-6.1157412	Orange	TRUE	24/06/2006	58773.7	0.5909	3702.13	0.15	242.3	5.5
Lexus	RX	Male	64	Tajikistan	Kolkhozobod	37.5940751	68.5962593	Pink	FALSE	7/1/2007	35406.37	0.0726	3227.54	0.16	198.6	5.4
Volkswagen	Cabriolet	Female	21	Brazil	Francisco Morato	-23.2797384	-46.7452277	Mauv	FALSE	10/1/2006	50442.6	0.3189	2358.71	0.11	230.4	8.6
Mazda	Miata MX-5	Female	42	Indonesia	Gludug	-8.1221236	112.0640052	Aquamarine	FALSE	18/09/2003	78577.28	0.0841	27913.84	0.09	225.1	2.3
Lincoln	Continental	Male	50	China	Jieshui	22.816884	115.830376	Khaki	FALSE	2/4/2003	31812.32	0.2211	11151.73	0.12	174.6	10.7
Chevrolet	G-Series G10	Female	51	Armenia	Dzorastan	39.2687372	46.3568418	Blue	FALSE	9/12/2014	49454.89	0.2573	38411.23	0.1	131	3.4
Dodge	Ram 3500	Female	44	Russia	Yasenevo	55.600738	37.5321289	Purple	TRUE	10/3/2011	99472.69	0.4139	11350.18	0.19	210.6	13.6
Chevrolet	Malibu	Male	42	Philippines	Granada	14.5644981	121.0309439	Indigo	FALSE	2/10/2016	55805.98	0.1006	44487.28	0.03	235.4	3.7
Kia	Sedona	Male	62	Russia	Teeli	51.0069155	90.2135806	Teal	FALSE	27/08/2017	14411.24	0.188	32633.3	0.2	163.8	14.2
Kia	Spectra	Female	60	Brazil	Poá	-23.5198964	-46.3408798	Mauv	FALSE	26/02/2015	37561.98	0.1155	7928.09	0.06	236.4	4.5
Audi	A3	Female	58	Mongolia	Bayshint	49.663978	90.2905901	Mauv	FALSE	1/5/2009	82703.81	0.5298	33347.35	0.07	195.5	13.3
Chevrolet	Suburban 2500	Female	43	China	Huaguo	30.271087	120.166448	Khaki	FALSE	20/11/2002	35426.05	0.1063	20936.64	0.07	214.7	14.8
GMC	Envoy XL	Female	71	Philippines	Kajatian	5.990033	120.953061	Fuscia	FALSE	6/12/2012	68570.39	0.3414	40619.77	0.15	161.4	10.6
Lexus	SC	Male	71	Russia	Azovo	54.7047674	73.0410443	Orange	FALSE	1/3/2005	15000.22	0.5341	5143.74	0.24	141.8	10.2
Jeep	Grand Cherokee	Female	37	China	Yancheng	33.347316	120.16366	Aquamarine	TRUE	18/10/2013	77020.66	0.2091	12119.65	0.22	192.5	5.1
BMW	M6	Male	66	Cuba	Guane	22.1998606	-84.0880839	Khaki	TRUE	16/09/2005	81101.39	0.4312	15226.19	0.06	171	4.9
Subaru	Justy	Male	37	China	Shimen	29.584292	111.380014	Puce	FALSE	31/01/2010	20882.48	0.0232	49176.59	0.13	215.2	2.5
Volkswagen	Golf	Female	70	Slovakia	Bratislava	48.1206294	17.1168892	Aquamarine	TRUE	2/3/2017	33272.88	0.1555	7864.75	0.1	200.8	13
Suzuki	Swift	Male	70	Japan	Imaichi	38.1245942	139.7374194	Violet	FALSE	23/11/2019	25220.3	0.1346	43088.07	0.08	197.4	5.9
Ford	F-Series Super Duty	Female	57	Indonesia	Labuhansumbawa	-8.4734842	117.3998369	Goldenrod	TRUE	2/5/2008	93979.57	0.1734	20528.02	0.13	163.5	4.8
Nissan	Cube	Male	54	Philippines	Luklukan	14.3254	122.7124	Khaki	TRUE	25/05/2013	15761.31	0.3241	22476.38	0.05	233.4	13.6
GMC	Savana 2500	Male	43	China	Taibai	34.058401	107.319116	Goldenrod	TRUE	28/09/2020	59902.41	0.604	35332.31	0.2	137.6	12.2
Nissan	Armada	Male	46	Russia	Gremyachinsk	58.5735318	57.7549537	Crimson	TRUE	6/12/2009	83391.14	0.646	17734.87	0.21	186.6	7.5
Hyundai	Santa Fe	Female	63	Poland	Skoroszyce	50.5982316	17.3802606	Violet	FALSE	8/10/2002	79999.63	0.0103	18747.48	0.13	210.9	7.2
Mazda	B-Series Plus	Male	24	China	Baqiu	27.5558363	115.1613612	Orange	TRUE	7/12/2012	55894.07	0.4267	5959.93	0.15	169.1	11.9
Saab	900	Male	65	Brazil	Itapicuru	-11.2362892	-38.2322028	Violet	TRUE	7/1/2015	63423.41	0.4039	40773.07	0.11	147.1	12.4
Acura	Legend	Female	30	Thailand	Narathiwat	6.4482939	101.8107351	Indigo	FALSE	13/02/2002	87551	0.0874	21717	0.24	150.3	13.8
Mitsubishi	Expo	Male	67	Indonesia	Bogorame	-6.7751995	111.3515736	Puce	FALSE	12/6/2016	42767.54	0.6651	5597.82	0.13	122.5	11.2
Aston Martin	Virage	Female	27	Thailand	Phra Pradaeng	13.6532561	100.5633676	Yellow	TRUE	13/09/2016	46849.71	0.0859	15745.89	0.11	140.2	6.9
Toyota	Tundra	Female	59	Indonesia	Bendosari	-7.6977621	110.8910556	Violet	TRUE	4/3/2008	96070.87	0.1849	16989.09	0.24	222.2	6.6
BMW	1 Series	Female	31	Indonesia	Pondokaso	-6.7992297	106.7620174	Khaki	TRUE	25/04/2003	90083.15	0.5038	2721.82	0.23	152.6	4.2
Hummer	H1	Female	54	Malawi	Machinga	-14.9407263	35.4781926	Crimson	FALSE	22/07/2005	70944.48	0.2073	7974.47	0.19	165.6	6.4
Acura	TL	Female	69	United States	Albany	42.6532844	-73.762495	Crimson	TRUE	30/07/2003	65954.18	0.0711	21779.49	0.06	143.9	3.9
Nissan	Frontier	Male	43	Lebanon	Joubb Jannîne	33.6328198	35.7819158	Turquoise	FALSE	28/10/2014	78239.54	0.2186	18617.54	0.01	246.7	8.3
Mitsubishi	Pajero	Female	64	Japan	Nichinan	31.5612018	131.34858	Orange	TRUE	26/08/2007	12788.67	0.0558	43528.41	0.03	150.9	13.1
Fiat	500	Female	41	Argentina	San Javier	-27.3895264	-55.9365393	Fuscia	TRUE	8/12/2016	20151.68	0.4102	36026.48	0.02	129.7	5.4
Dodge	Ram 3500	Male	67	Egypt	Damietta	31.4175388	31.8144434	Pink	FALSE	11/10/2004	12655.72	0.5253	7855.14	0.19	222.6	7.4
Volkswagen	Passat	Male	50	Indonesia	Sbo’o	-6.8723784	107.5815795	Yellow	TRUE	5/6/2008	76226.68	0.2045	16019.45	0.07	140.7	14.6
Infiniti	Q	Male	32	Mexico	Francisco Villa	19.3376878	-99.0591821	Aquamarine	FALSE	5/7/2005	58834.85	0.6023	3566.68	0.19	156.1	6.2
Bentley	Azure	Female	53	United States	Saint Cloud	45.62	-94.25	Violet	FALSE	16/01/2007	20072.56	0.4899	10852.78	0.03	142	4
Lincoln	Continental Mark VII	Male	38	Indonesia	Samadua	3.7334765	96.7999931	Red	FALSE	3/4/2017	10695.87	0.0687	38297.63	0.03	145.2	13.1
Honda	Odyssey	Male	52	Greece	Koíla	40.3306084	21.7886602	Indigo	TRUE	16/09/2012	42940.63	0.5241	8236.56	0.05	220.7	8.2
Pontiac	GTO	Female	75	China	Qinghu	35.744798	96.4077358	Pink	FALSE	26/04/2016	12251.82	0.257	2316.79	0.17	178.9	7.7
Buick	Rainier	Female	27	Iran	Alvand	36.1860016	50.064982	Red	FALSE	22/09/2017	23674.97	0.4544	2541.28	0.02	134.3	9.6
Mitsubishi	GTO	Female	43	Canada	Macklin	52.33344	-109.93484	Purple	FALSE	24/01/2012	47773.09	0.1431	47361.43	0.17	199.4	13.1
Jaguar	S-Type	Male	33	Czech Republic	Lib?šice	50.3448824	15.3606459	Blue	TRUE	3/8/2017	43317.69	0.467	17102.52	0.21	163	7.7
Volkswagen	Eurovan	Male	67	Norway	Harstad	68.787629	16.5529921	Teal	FALSE	26/04/2013	12478.78	0.6466	17535.05	0.09	133.7	2.1
Porsche	Boxster	Male	71	Philippines	Minante Segundo	16.9022	121.76191	Crimson	FALSE	8/10/2013	66541.43	0.275	23620.54	0.11	136.8	9.9
Mercedes-Benz	GLK-Class	Male	38	Indonesia	Tutut	4.509193	96.128731	Purple	TRUE	30/01/2006	95212.74	0.3649	12507.84	0.04	126.3	5.8
Pontiac	Grand Prix	Male	27	Argentina	Saladas	-27.4413635	-58.7832105	Orange	FALSE	27/04/2009	13689.21	0.6233	7780.57	0.06	141.5	8.7
Chevrolet	Tahoe	Male	63	Russia	El’brus	43.2580921	42.6468184	Aquamarine	FALSE	29/05/2017	68608.74	0.3414	31487.46	0.07	222.5	4.3
GMC	Savana 1500	Female	38	China	Guangsheng	23.14855	113.249429	Aquamarine	TRUE	7/12/2017	45212.39	0.4338	14060.26	0.21	238.1	9.3
Oldsmobile	Ciera	Female	51	Vietnam	Si Ma Cai	22.6659838	104.262851	Purple	TRUE	18/03/2016	28247.8	0.5609	43710.82	0.17	239.2	11.3
